"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"title/title_dark_strike_witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"ネウロイの\t巣";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";"Dark Strike Witcher";;
"title/title_sky_piercing_strike_witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"ストライクウィッチーズ";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";"Sky Piercing Strike Witcher";;
"title/title_grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Хваткий";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";"Grasping";;
"title/title_fire_raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Змей-Горыныч";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";"Fire-Raiser";;
"title/title_first_to_fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"Первый в Бою";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";"First to Fight";;
"title/title_hot_headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Вспыльчивый";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";"Hot-Headed";;
"title/title_predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Хищник";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";"Predator";;
"title/title_red_falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Красный сокол";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";"Red Falcon";;
"title/title_teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Напарник";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";"Teammate";;
"title/title_sharp-toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Зубастый";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";"Sharp-Toothed";;
"title/title_pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Следопыт";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";"Pathfinder";;
"title/title_undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Непобежденный";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";"Undefeated";;
"title/title_content_partner";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Военкор";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";"Under the Wire";;
"title/title_wall_breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Крушитель Стен";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";"Wall Breaker";;
"title/title_vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Зоркий";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";"Vigilant";;
"title/title_fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Разящий";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";"Fightingest";;
"title/title_sea_dog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Сторожевой пёс";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";"Watchdog";;
"title/title_stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Жало";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";"Stinger";;
"title/title_ship_cbt";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Хозяин морей";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";"Sea Master";;
"title/title_down";"Down!";"Down!";"Down!";"Down!";"Down!";"На дно!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";"Down!";;
"title/title_triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Триарий";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";"Triarius";;
"title/title_sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Страж";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";"Sentinel";;
"title/title_scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Кнут";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";"Scourge";;
"title/title_reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Жнец";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";"Reaper";;
"title/title_saber_toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Саблезубый";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";"Saber-Toothed";;
"title/title_skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Рассекатель небес";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";"Skyblazer";;
"title/title_1v1_racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Rennfahrer";"1v1 Racer";"Гонщик 1 на 1";"Kierowca wyścigowy 1v1";"Závodník 1v1";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";"1v1 Racer";;
"title/title_french_tanker";"French Tank Expert";"Chef de char français";"French Tank Expert";"Französischer Panzerexperte";"Experto en tanques franceses";"Знаток французских танков";"Mistrz czołgów francuskich ";"Francouzský tankový expert";"Fransız Tankları Uzmanı";"French Tank Expert";"French Tank Expert";"Perito de Tanques Franceses";"French Tank Expert";"French Tank Expert";"French Tank Expert";"French Tank Expert";"French Tank Expert";"French Tank Expert";"French Tank Expert";"French Tank Expert";"French Tank Expert";;
"title/title_tank_hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Held der Panzerturniere";"Héroe de Torneos de Tanques";"Герой танковых турниров";"Bohater turniejów czołgowych";"Hrdina tankových turnajů";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Herói de Torneios de Tanques";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";"Tank Tournaments Hero";;
"title/title_air_hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Held der Luftturniere";"Héroe de Torneos Aéreos";"Герой авиа-турниров";"Bohater turniejów lotniczych";"Hrdina leteckých turnajů";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Herói de Torneios Aéreos";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";"Air Tournaments Hero";;
"title/title_race_hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Held der Rennturniere";"Héroe de Torneos de Carreras";"Герой гоночных турниров";"Bohater turniejów wyścigowych";"Hrdina závodních turnajů";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Herói de Torneios de Corridas";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";"Racing Tournaments Hero";;
"title/title_combined_hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Held der verbundenen Turniere";"Héroe de Torneos Combinados";"Герой совместных турниров";"Bohater turniejów mieszanych";"Hrdina kombinovaných turnajů";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Herói de Torneios Combinados";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";"Combined Tournaments Hero";;
"title/title_hero_olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Held des Olymp";"Héroe del Olimpo";"Герой Олимпа";"Bohater Olympus";"Hrdina Olympu";"Hero of Olympus";"Hero of the Olympus";"Hero of the Olympus";"Herói do Ólympos";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";"Hero of the Olympus";;
"title/title_tough_guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Суровый";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";"Tough Guy";;
"title/title_crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Крушитель";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";"Crusher";;
"title/title_lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Неустрашимый";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";"Lionhearted";;
"title/title_valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Доблестный";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";"Valiant";;
"title/title_poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Посейдон";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";"Poseidon";;
"title/title_strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Стратег";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";"Strategist";;
"title/title_ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Беспощадный";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";"Ruthless";;
"title/title_ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ронин";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";"Ronin";;
"title/title_devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Опустошитель";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";"Devastator";;
"title_deck_the_halls_check_tank/name";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 выполненных задач ""Лампочки на Ёлке"" танкиста";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";"12 completed ""Christmas lights"" for tankers";;
"title_deck_the_halls_check_air/name";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 выполненных задач ""Лампочки на Ёлке"" пилотов";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";"12 completed ""Christmas lights"" tasks for pilots";;
"title/title_deck_the_halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Glühwürmchen";"Deck the Halls";"Светлячок";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";"Deck the Halls";;
"title/title_deck_the_halls/desc";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"Выдаётся за все 12 выполненных задач ""Лампочки на Ёлке"" пилотов или за 12 выполненных задач ""Лампочки на Ёлке"" танкиста.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";"For 12 completed ""Christmas lights"" tasks for pilots or for 12 completed ""Christmas lights"" for tankers you will get the unique title.";;
"title/title_got_a_cruiser";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";"I've got a cruiser!";;
"title/title_skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Жаворонок";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";"Skylark";;
"title/title_world_warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"Всемирный воин";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";"World Warrior";;
"title_world_warrior/desc";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"За участие в ЗБТ режима Мировая война.";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";"World War CBT Reward";;
"title/title_fuji_school_brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Учебная бригада Фудзи";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"富士教導団";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";"Fuji School Brigade";;
"title/title_sky_dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Небесный дракон";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"天竜";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";"Sky Dragon";;
"title/title_knight_of_the_north";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Рыцарь Севера";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";"Knight of the North";;
"title/title_storm_petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Буревестник";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";"Storm Petrel";;
"title/title_venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Ядовитый";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";"Venomous";;
"title/title_real_free_abrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";"@realFreeAbrams";;
"title/title_aye_of_the_tiger";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";"Aye of the Tigor";;
"title/title_god_thunder_corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"「神雷部隊」";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";"God Thunder Corps";;
"title/title_long_lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Длинное копье";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"ロング・ランス";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";"Long Lance";;
"title/title_risky";"Risky";"Risky";"Risky";"Risky";"Risky";"Рисковый";"Risky";"Risky";"Risky";"Risky";"リスキー";"Risky";"Risky";"Risky";"Risky";"Risky";"Risky";"Risky";"Risky";"Risky";"Risky";;
"title/title_bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Бедуин";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";"Bedouin";;
"title/title_nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Кочевник";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";"Nomad";;
"title/title_orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Великий змей";"Orochi";"Orochi";"Orochi";"Orochi";"大蛇";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";"Orochi";;
"title/title_first_in_deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"Первый в деле";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";"First in Deed";;
"title/title_sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Кувалда";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";"Sledgehammer";;
