"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"vk_quiz_unlock_gift_3/desc";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"Prix pour la participation au ""Quizz FB - War Thunder Mastermind""";"Premio per la partecipazione allo speciale ""Quiz FB - Secchione di War Thunder""";"Belohnung für die Teilnahme an der ""Facebook-Quiz - War Thunder Mastermind""-Aktion";"Premio por participar en el especial ""Cuestionario FB – Mente Maestra de War Thunder""";"Приз за участие в акции ""Знаток War Thunder""";"Nagroda za uczestnictwo w konkursie „Geniusz War Thunder” na Facebooku";"Cena za účast ve speciálu ""FB kvíz - Génius War Thunder""";"""FB Testi - War Thunder Dehası"" özel etkinliğine katılım ödülü";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"スペシャル「FB\tクイズ　‐　\tWar Thunder\tマスターマインド」\t参加賞";"Recompensa pela participação no especial ""FB Quiz - War Thunder Mastermind""";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"Приз за участь в акції ""Знавець War Thunder""";"Nagrada za učestvovanje u ˝Fejsbuk Kviz - War Thunder Pametnica˝ specijalu";"Jutalom az „FB kvíz – War Thunder szakértő” résztvevőinek";"""페이스북 퀴즈 - 워썬더 지휘자"" 참가자 특별 보상";"Прыз за ўдзел у акцыі ""Знаўца War Thunder""";"Premiu pentru participarea la „FB Quiz - War Thunder Mastermind” special";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";;
"trophy/vk_quiz_unlock_gift_trophy";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"Prix pour la participation au ""Quizz FB - War Thunder Mastermind""";"Premio per la partecipazione allo speciale ""Quiz FB - Secchione di War Thunder""";"Belohnung für die Teilnahme an der ""Facebook-Quiz - War Thunder Mastermind""-Aktion";"Premio por participar en el especial ""Cuestionario FB – Mente Maestra de War Thunder""";"Приз за участие в акции ""Знаток War Thunder""";"Nagroda za uczestnictwo w konkursie „Geniusz War Thunder” na Facebooku";"Cena za účast ve speciálu ""FB kvíz - Génius War Thunder""";"""FB Testi - War Thunder Dehası"" özel etkinliğine katılım ödülü";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"スペシャル「FB\tクイズ　‐　\tWar Thunder\tマスターマインド」\t参加賞";"Recompensa pela participação no especial ""FB Quiz - War Thunder Mastermind""";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"Приз за участь в акції ""Знавець War Thunder""";"Nagrada za učestvovanje u ˝Fejsbuk Kviz - War Thunder Pametnica˝ specijalu";"Jutalom az „FB kvíz – War Thunder szakértő” résztvevőinek";"""페이스북 퀴즈 - 워썬더 지휘자"" 참가자 특별 보상";"Прыз за ўдзел у акцыі ""Знаўца War Thunder""";"Premiu pentru participarea la „FB Quiz - War Thunder Mastermind” special";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";"Prize for participation in ""FB Quiz - War Thunder Mastermind"" special";;
"unlocks/group/ch_23feb2015";"Gladiator glory";"Gloire du Gladiateur";"Gloria dei Gladiator";"Ruhm den Gladiatoren";"Gloria del Gladiator";"Защитникам Отечества";"Zostań Gladiatorem!";"Sláva gladiátora";"Gladyatör şanı";"角\t斗\t士\t之\t耀";"グラディエーターの\t栄光";"Gladiator glory";"Gladiator glory";"Гладіаторська слава";"Slava Gladijatora";"Gladiátor dicsőség";"검투사의 영광";"Абаронцам Айчыны";"Gloria gladiatorului";"Gladiator glory";"角\t斗\t士\t之\t耀";;
"ch_23feb2015_decal/name";"Gladiator glory";"Gloire du Gladiateur";"Gloria dei Gladiator";"Ruhm den Gladiatoren";"Gloria del Gladiator";"Декаль в честь Дня защитника Отечества";"Zostań Gladiatorem!";"Sláva gladiátora";"Gladyatör şanı";"角\t斗\t士\t之\t耀";"グラディエーターの\t栄光";"Gladiator glory";"Gladiator glory";"Гладіаторська слава";"Slava Gladijatora";"Gladiátor dicsőség";"검투사의 영광";"Эмблема з нагоды Дня абаронцаў Айчыны і Узброеных Сіл Рэспублікі Беларусь";"Gloria gladiatorului";"Gladiator glory";"角\t斗\t士\t之\t耀";;
"ch_23feb2015_decal/desc";"You should complete several simple tasks in order to get the ""Circled Star"" decal. 
Click to see the full list";"Vous devez compléter quelques tâches simples pour obtenir la décalcomanie ""Circled Star"".
Cliquez pour voir la liste complète";"Devi completare diverse missioni semplici per ottenere la decal ""Stella Cerchiata""-
Clicca per vedere la lista completa";"Erfülle verschiedene einfache Aufgaben und erhalte das 'Circled Star' Abzeichen.
Klicke hier, um die vollständige Liste einzusehen.";"Debes completar varias tareas simples para obtener la calcomanía ""Estrella en un círculo"".
Haz clic para ver la lista completa";"Для получения уникальной декали ""23 февраля"" нужно выполнить очень простые задания. 
Нажмите, чтобы увидеть полный список";"Wykonaj kilka prostych zadań w celu zdobycia emblematu „Amerykańska gwiazda”.
Kliknij, aby zobaczyć pełną listę";"Abys dostal emblém ""Hvězda v kruhu"", musíš splnit několik jednoduchých úkolů. Klepnutím zobrazíš úplný seznam";"""Çemberli Yıldız"" çıkartmasını alabilmek için bir kaç basit görevi tamamlamalısın.
Tam listeyi görmek için tıklayın";"完\t成\t一\t些\t简\t单\t的\t任\t务\t即\t可\t获\t得\t“\t圆\t环\t五\t星\t”\t贴\t花\t。\t
\t点\t击\t查\t看\t详\t细\t列\t表\t。";"丸い\t星」\tデカールを\t入手するために、\t幾つの\tシンプルタスクを\t完了させる\t必要があります。\t
フルリストを\t見るにはここを\tクリックしてください。";"Você deve concluir várias tarefas simples para obter o decalque ""Circled Star"". 
Clique aqui para ver a lista completa";"You should complete several simple tasks in order to get the ""Circled Star"" decal. 
Click to see the full list";"Для отримання святкової наклейки, потрібно виконати дуже прості завдання.
Натисніть, щоб побачити повний список";"Treba da završite nekoliko jednostavnih zadataka da bi ste dobili nalepnicu ""Zaokružena Zvezda""";"Teljesítened kell néhány egyszerű feladatot a „Csillag karikában” matrica megszerzéséhez.
Kattints ide a teljes lista megtekintéséhez.";"""미 육군 식별표지"" 데칼을 얻기 위해서는 몇 개의 간단한 과제를 완료해야 한다.
클릭하여 전체 목록 보기";"Каб атрымаць унікальную эмблему ""23 лютага"", трэба выканаць вельмі простыя задачы. 
Націсніце, каб пабачыць поўны спіс";"Ar trebui să completezi mai multe sarcini simple pentru a obține emblema „Stea încercuită”.
Apăsați aici pentru a vedea lista completă";"You should complete several simple tasks in order to get the ""Circled Star"" decal. 
Click to see the full list";"完\t成\t一\t些\t简\t单\t的\t任\t务\t即\t可\t获\t得\t“\t圆\t环\t五\t星\t”\t贴\t花\t。\t
\t点\t击\t查\t看\t详\t细\t列\t表\t。";;
"ch_23feb2015_kill_tank/name";"Destroy one tank";"Détruisez un char";"Distruggi un carro armato";"Zerstöre einen Panzer";"Destruye un tanque";"Уничтожить один танк";"Zniszcz jeden czołg";"Znič jeden tank";"Bir tankı imha et";"摧\t毁\t一\t辆\t坦\t克";"戦車を\t一台破壊";"Destruir um tanque";"Destroy one tank";"Знищити один танк";"Uništite jedan tank";"Semmisíts meg egy harckocsit";"1대의 전차를 파괴하라";"Знішчыць адзін танк";"Distruge un tanc";"Destroy one tank";"摧\t毁\t一\t辆\t坦\t克";;
"ch_23feb2015_kill_plane/name";"Destroy one aircraft";"Détruisez un avion";"Distruggi un aereo";"Zerstöre ein Flugzeug";"Destruye un avión";"Уничтожить один самолёт";"Zestrzel jeden samolot";"Znič jedno letadlo";"Bir uçağı imha et";"击\t落\t一\t架\t飞\t机";"航空機を\t一機破壊";"Destruir uma aeronave";"Destroy one aircraft";"Знищити один літак";"Uništite jedan avion";"Semmisíts meg egy repülőgépet";"1대의 항공기를 파괴하라";"Знішчыць адзін самалёт";"Distruge un avion";"Destroy one aircraft";"击\t落\t一\t架\t飞\t机";;
"ch_23feb2015_higherRank/name";"Destroy one vehicle of a higher rank";"Détruisez un véhicule d'un rang plus élevé";"Distruggi una unità di ERA più alta";"Zerstöre ein Fahrzeug höheren Ranges";"Destruye un vehículo de un rango superior";"Уничтожить технику выше рангом";"Zniszcz jeden pojazd z wyższej ery";"Znič jeden stroj vyšší úrovně";"Daha yüksek seviyedeki bir aracı imha et";"摧\t毁\t一\t台\t比\t自\t己\t等\t级\t更\t高\t的\t载\t具";"ランクが\t一つ\t上の\t車両を\t破壊";"Destruir um veículo de um nível mais elevado";"Destroy one vehicle of a higher rank";"Знищити техніку рангом вище";"Uništite jedno vozilo većeg ranga";"Semmisíts meg egy magasabb rangú járművet";"더 높은 랭크에 있는 장비 1대를 파괴하라";"Знішчыць машыну вышэйшага рангу";"Distruge un vehicul de rang superior";"Destroy one vehicle of a higher rank";"摧\t毁\t一\t台\t比\t自\t己\t等\t级\t更\t高\t的\t载\t具";;
"ch_23feb2015_missionsWon/name";"Win one battle";"Gagnez une bataille";"Vinci una battaglia";"Gewinne eine Schlacht";"Gana una batalla";"Выиграть один бой";"Wygraj jedną bitwę";"Vyhraj jednu bitvu";"Bir savaş kazan";"赢\t一\t场";"バトルを\t一回勝利する";"Vencer uma batalha";"Win one battle";"Виграти один бій";"Pobedite jednu bitku";"Nyerj meg egy csatát";"1번의 전투에서 승리하라";"Перамагчы ў адным баі";"Câștigă o bătălie";"Win one battle";"赢\t一\t场";;
"ch_23feb2015_captures/name";"Capture one base or airfield";"Capturez une base ou aérodrome";"Cattura una base o aeroporto";"Erobere eine Basis oder einen Flugplatz";"Captura una base o campo de aviación";"Захватить одну базу или аэродром";"Zajmij bazę lub lotnisko";"Obsaď jednu základnu nebo letiště";"Bir üssü yada havaalanını ele geçir";"占\t领\t一\t个\t战\t区\t或\t机\t场";"基地か\t飛行場を\t一つ\t占領";"Capturar uma base ou aeródromo";"Capture one base or airfield";"Захопити одну базу або аеродром";"Zauzmite jednu bazu ili pistu";"Foglalj el egy repülőteret vagy bázist";"1개의 기지 또는 비행장을 점령하라";"Захапіць адну базу або аэрадром";"Capturează o bază sau aerodrom";"Capture one base or airfield";"占\t领\t一\t个\t战\t区\t或\t机\t场";;
"ch_23feb2015_landings/name";"Land successfully";"Atterrissez avec succès";"Atterra con successo";"Lande erfolgreich";"Aterriza con éxito";"Успешно посадить самолёт";"Wyląduj";"Úspěšně přistaň";"Başarılı bir biçimde in";"成\t功\t着\t陆";"着陸成功";"Aterrar/aterrissar com sucesso";"Land successfully";"Успішно посадити літак";"Sletite uspešno";"Szállj le sikeresen";"성공적으로 착륙하라";"Удала пасадзіць самалёт";"Aterizează cu succes";"Land successfully";"成\t功\t着\t陆";;
"ch_23feb2015_mission_korsun_hockey_GS/name";"Participate in the event: [Winter Games] Hockey";"Participez à l'événement : [Winter Games] Hockey";"Partecipa all'evento: [Giochi Invernali] Hockey";"Nimm am Ereignis '[Winterspiele] Hockey' teil";"Participa en el evento: Hockey [Juegos de Invierno]";"Сыграть в событие: [Зимние игры] Хоккей";"Weź udział w wydarzeniu: [Igrzyska Zimowe] Hokej";"Zúčastni se eventu [Zimní hry] Hokej";"[Kış Oyunları] Hokey etkinliğine katıl";"参\t与\t行\t动\t：\t【\t战\t机\t冬\t奥\t会\t】\t科\t尔\t松\t \t•\t \t冰\t球";"イベント「冬の\tゲーム」\tホッケーに\t参加する";"Participar no evento: Hóquei [Jogos de Inverno]";"Participate in the event: [Winter Games] Hockey";"Відіграти подію: [Зимові ігри] Хокей";"Učestvujte u događaju: [Zimske Igre] Hokej";"Vegyél részt az eseményen: [Téli játékok] Jégkorong";"""[동계 올림픽] 하키"" 이벤트 참여";"Узяць удзел у падзеі: [Зімовыя Гульні] Хакей";"Participă la evenimentul: [Jocurile iernii] Hochei";"Participate in the event: [Winter Games] Hockey";"参\t与\t行\t动\t：\t【\t战\t机\t冬\t奥\t会\t】\t科\t尔\t松\t \t•\t \t冰\t球";;
"ch_23feb2015_mission_aaa_eastern_europe/name";"Participate in the event: ""War in Mid Air""";"Participate in the event: ""War in Mid Air""";"Partecipa all'evento: ""Guerra a mezz'aria""";"Nimm am Ereignis 'Luftkrieg' teil";"Participa en el evento: ""Guerra en en el cielo""";"Сыграть в событие: ""Война между небом и Землёй""";"Weź udział w wydarzeniu: „Bitwa między Niebem a Ziemią”";"Zúčastni se eventu ""Válka ve vzduchu""";"""Gökyüzünün ortasında savaş"" etkinliğine katıl";"参\t与\t行\t动\t：\t地\t空\t对\t垒";"イベント「空中戦争」\tに\t参加する";"Participar no evento: ""War in Mid Air""";"Participate in the event: ""War in Mid Air""";"Відіграти подію: ""Війна між небом і землею""";"Učestvujte u događaju: ""Rat na sred neba""";"Vegyél részt az eseményen: Háború földközelben";"""상공의 전쟁"" 이벤트 참여";"Узяць удзел у падзеі: ""Вайна паміж небам і зямлёй""";"Participă la evenimentul: „Război aerian”";"Participate in the event: ""War in Mid Air""";"参\t与\t行\t动\t：\t地\t空\t对\t垒";;
"ch_23feb2015_gladiator_give/name";"Gift aircraft Gladiator Mk.IIS";"Gladiator Mk.IIs offert";"Aereo regalo Gladiator Mk.IIS";"Gladiator Mk.IIS";"Avión de regalo Gladiator Mk.IIS";"Подарочный самолёт Gladiator Mk.IIS";"Unikatowy samolot Gladiator Mk IIS";"Dárkové letadlo Gladiator Mk.IIS";"Hediye uçak Gladiator Mk.IIS";"奖\t励\t：\t“\t斗\t士\t“\tMk IIS";"ギフト\t航空機\tグラディエーター　\tMk.IIS";"Aeronave de presente Gladiator Mk.IIS";"Gift aircraft Gladiator Mk.IIS";"Подарунковий літак Gladiator Mk.IIS";"Poklon Avion Gladiator Mk.IIS";"Ajándék Gladiator Mk. IIS repülőgép";"글래디에이터 Mk.IIS 선물";"Падарункавы самалёт Gladiator Mk.IIS";"Avion cadou Gladiator Mk.IIS";"Gift aircraft Gladiator Mk.IIS";"奖\t励\t：\t“\t斗\t士\t“\tMk IIS";;
"ch_23feb2015_gladiator_give/desc";"Join the Gladiators’ team, get a unique decal and the gift ""Gladiator Mk.IIS"" aircraft!";"Join the Gladiators’ team, get a unique decal and the gift ""Gladiator Mk.IIS"" aircraft!";"Partecipa alla squadra di Gladiators, ottieni una decal unica ed in regalo l'aereo ""Gladiator Mk.IIS""!";"Trete den Gladiatoren bei, erhalte ein einzigartiges Abzeichen und das seltene Flugzeug 'Gladiator Mk.IIS'!";"Únete al equipo de Gladiators, consigue una calcomanía única y el regalo, el avión ""Gladiator Mk.IIS""!";"Присоединяйся в эти дни к команде Защитников Отечества, получи уникальную декаль ""23 февраля"" и премиумный самолёт победителя ""Gladiator Mk.IIS""!
Всего необходимо выполнить любые 5 из 7 заданий!";"Zostań Gladiatorem! Zdobądź specjalny emblemat oraz unikatowy myśliwiec „Gladiator Mk IIS”!";"Připoj se do skupiny Gladiátorů, získej unikátní emblém a dárkový letoun ""Gladiator Mk.IIS""";"Gladyatörler takımına katıl, eşsiz bir çıkartma ve ""Gladyatör Mk.IIS"" uçak hediyesine sahip ol!";"加\t入\t活\t动\t，\t赢\t取\t特\t殊\t的\t贴\t花\t和\t“\t斗\t士\t”\tMk IIS \t战\t斗\t机\t！";"グラディエーターチームに\t参加し、\t特別な\tデカールと\tギフト\t航空機「グラディエーター　\tMk.IIS」\tを\tゲットしよう！";"Junte-se à equipe dos Gladiators, ganhe um decalque único e o avião ""Gladiador Mk.IIS"" como presente!";"Join the Gladiators’ team, get a unique decal and the gift ""Gladiator Mk.IIS"" aircraft!";"Приєднуйся до команди гладіаторів в ці дні, отримай унікальну наклейку та преміумний літак переможця ""Gladiator Mk.IIS""!";"Pridružite se Gladijatorskom timu, dobijte jedinstvenu nalepnicu i poklon avion ""Gladiator Mk.IIS""!";"Csatlakozz a Gladiátorok csapatához, szerezz egy egyedi matricát és egy ajándék Gladiator Mk. IIS repülőgépet!";"검투사의 팀에 합류하여 특별한 데칼과 ""글래디에이터 Mk. IIS""를 획득하라!";"Далучайся ў гэтыя дні да каманды Абаронцаў Айчыны і заслужы ўнікальную эмблему ""23 лютага"" і падарункавы самалёт пераможцы ""Gladiator Mk.IIS""!
Трэба выканаць любыя 5 з 7 задач!";"Alătură-te echipei de Gladiatori, obține o emblemă unică și avionul cadou „Gladiator Mk.IIS”!";"Join the Gladiators’ team, get a unique decal and the gift ""Gladiator Mk.IIS"" aircraft!";"加\t入\t活\t动\t，\t赢\t取\t特\t殊\t的\t贴\t花\t和\t“\t斗\t士\t”\tMk IIS \t战\t斗\t机\t！";;
"ch_23feb2015_gladiator_wonscore/name";"Champion of Capua";"Champion de Capua";"Campione di Capua";"Meister von Capua";"Campeón de Capua";"Защитник Отечества";"Obrońca ojczyzny";"Šampión Capui";"Capua Şampiyonu";"卡\t普\t亚\t之\t巅";"カプアの\tチャンピオン";"Campeão de Capúa";"Champion of Capua";"Чемпіон Капуа";"Šampion Kapue";"Capua bajnoka";"카푸아의 챔피언";"Абаронца Айчыны";"Campionul Capua";"Champion of Capua";"卡\t普\t亚\t之\t巅";;
"ch_23feb2015_gladiator_wonscore/desc";"Take 1st place in the victorious team";"Soyez à la 1ère place de l'équipe victorieuse";"Ottieni il 1° posto nella squadra vincitrice";"Erringe den ersten Platz in einem siegreichen Team";"Acaba en 1er lugar en el equipo vencedor";"1 из 7 заданий на получение самолёта Gladiator Mk.IIS.
Приведи команду к победе и займи первое место по итогам боя!";"Zajmij pierwsze miejsce w zwycięskiej drużynie";"Buď první ve vítězném týmu";"Muzaffer takımda 1. sırayı al";"在\t获\t胜\t的\t队\t伍\t中\t排\t第\t一";"勝利し\tチームで\t1位を\t取る";"Obter o 1º lugar na equipe vitoriosa";"Take 1st place in the victorious team";"Приведи команду до перемоги і займи перше місце за підсумками бою";"Zauzmite 1. mesto u pobedničkom timu";"Szerezd meg az 1. helyet a győztes csapatban.";"승리한 팀에서 1위를 달성하라.";"1-я з 7 задач на атрыманне самалёта Gladiator Mk.IIS.
Здабудзь сваёй камандзе перамогу і стань найлепшым, заняўшы першае месца паводле вынікаў бою!";"Obține locul 1 în echipa victorioasă";"Take 1st place in the victorious team";"在\t获\t胜\t的\t队\t伍\t中\t排\t第\t一";;
"ch_23feb2015_gladiator_winner/name";"Winner";"Gagnant";"Vincitore";"Sieger";"Ganador";"Победитель";"Zwycięzca";"Vítěz";"Galip";"胜\t利\t者";"勝者";"Vencedor";"Winner";"Переможець";"Pobednik";"Győztes";"승자";"Пераможца";"Câștigător";"Winner";"胜\t利\t者";;
"ch_23feb2015_gladiator_winner/desc";"Achieve 5 victories with activity not less than 75%";"Obtenez 5 victoires avec 75% d'activité ou plus";"Ottenere 5 vittorie con una attività non inferiore al 75%";"Erringe fünf Siege mit einer Aktivität über 75%";"Consigue 5 victorias con una actividad no menor de 75%";"2 из 7 заданий на получение самолёта Gladiator Mk.IIS.
Приведите команду к победе 5 раз, с активностью не менее 75%.";"Osiągnij 5 zwycięstw przy aktywności nie mniejszej niż 75%";"Dosáhni 5 vítězství s aktivitou nejméně 75%";"Aktiviten %75 den düşük olmayacak şekilde 5 galibiyet kazan";"取\t得\t 5 \t场\t胜\t利\t（\t活\t跃\t度\t不\t低\t于\t 75%\t）";"アクテビティ\t75%以上で\t5勝する";"Obter 5 vitórias com atividade não inferior a 75%";"Achieve 5 victories with activity not less than 75%";"Приведіть команду до перемоги 5 разів, з активністю не менше 75%";"Ostvarite 5 pobeda sa aktivnošću ne manjom od 75%";"Szerezz 5 győzelmet legalább 75% harci aktivitással.";"75% 이상의 전투활동량으로 5번의 승리를 달성하라.";"2-я з 7 задач на атрыманне самалёта Gladiator Mk.IIS.
Здабудзь сваёй камандзе перамогу 5 разоў з актыўнасцю ў баі не меншай за 75%.";"Obține 5 victorii cu o activitate de cel puțin 75%";"Achieve 5 victories with activity not less than 75%";"取\t得\t 5 \t场\t胜\t利\t（\t活\t跃\t度\t不\t低\t于\t 75%\t）";;
"ch_23feb2015_gladiator_fighter/name";"Fighter";"Chasseur";"Caccia";"Jagdflieger";"Caza";"Истребитель";"Myśliwy";"Stíhač";"Avcı";"战\t斗\t机";"戦闘機";"Caça";"Fighter";"Винищувач";"Lovac";"Vadászrepülő";"전투기";"Лётчык-знішчальнік";"Avion de vânătoare";"Fighter";"战\t斗\t机";;
"ch_23feb2015_gladiator_fighter/desc";"Destroy enemy aircraft in AB/RB/SB while flying any fighter";"Détruisez un avion ennemi en AB/RB/SB en volant avec un chasseur";"Distruggi gli aerei nemici in AB/HB/SB ai comandi di un caccia qualsiasi";"Zerstöre feindliche Flugzeuge in AB/RB/SB in einem beliebigen Jäger";"Destruye aviones enemigos en AB/RB/SB mientras vuelas cualquier caza";"3 из 7 заданий на получение самолёта Gladiator Mk.IIS.
Сбивайте самолёты противника в любом режиме игры, управляя истребителями любой страны";"Zniszcz wrogi samolot w dowolnym trybie gry pilotując jakikolwiek myśliwiec";"Zničte nepřátelský letoun v AB/RB/SB při pilotování jakéhokoliv stíhače";"Herhangi bir avcı uçağı kullanırken AS/GS/SS 'de düşman uçaklarını imha et";"在\t街\t机\t、\t历\t史\t或\t全\t真\t模\t式\t中\t驾\t驶\t战\t斗\t机\t摧\t毁\t敌\t机";"AB/RB/SB\tモードで\t攻撃機を\t使い、\t敵の\t航空機を\t破壊";"Destruir aviões inimigos em AB/RB/SB quando voar com qualquer caça";"Destroy enemy aircraft in AB/RB/SB while flying any fighter";"Збивайте літаки супротивника в будь-якому режимі гри, керуючи винищувачами будь-якої країни";"Uništite neprijateljski avion u AB/RB/SB dok letite bilo kojim lovcem";"Semmisíts meg ellenséges repülőgépeket AB/RB/SB módban bármilyen vadászrepülővel.";"아케이드/리얼리스틱/시뮬레이터에서 전투기로 적기 격추";"3-я з 7 задач на атрыманне самалёта Gladiator Mk.IIS.
Збівайце варожыя самалёты ў любым рэжыме гульні, кіруючы знішчальнікамі любой дзяржавы.";"Distruge avioane inamice în LA/LR/LS în timp ce pilotezi orice tip de avion de vânătoare";"Destroy enemy aircraft in AB/RB/SB while flying any fighter";"在\t标\t准\t、\t历\t史\t或\t全\t真\t模\t式\t中\t驾\t驶\t战\t斗\t机\t摧\t毁\t敌\t机";;
"ch_23feb2015_gladiator_assault/name";"Attacker";"Avion d'attaque";"Assaltatore";"Schlachtflieger";"Avión de ataque";"Штурмовик";"Szturmowiec";"Attacker";"Taarruz Uçağı";"攻\t击\t机";"攻撃機";"Attacker";"Attacker";"Attacker";"Jurišnik";"Csatarepülő";"공격기";"Лётчык-штурмавік";"Avion de atac";"Attacker";"攻\t击\t机";;
"ch_23feb2015_gladiator_assault/desc";"Destroy ground targets (AI) in AB/RB/SB while flying any attacker";"Détruire des cibles au sol (IA) en AB/RB/SB en pilotant un attaquant";"Distruggi le unità terrestri (IA) in AB/HB/SB ai comandi di un qualsiasi assaltatore";"Zerstöre Bodenziele (AI) in AB/RB/SB in einem beliebigen Schlachtflugzeug";"Destruye objetivos terrestres (IA) en AB/RB/SB mientras vuelas cualquier avión de ataque";"4 из 7 заданий на получение самолёта Gladiator Mk.IIS.
Уничтожайте наземные цели (ИИ ботов) в любом режиме игры, управляя штурмовиками любой страны.";"Zniszcz cele naziemne (SI) w trybach AB/RB/SB pilotując dowolny samolot szturmowy";"Zničte pozemní cíle (AI) v AB/RB/SB při pilotování jakéhokoliv bitevníku";"Herhangi bir Taarruz uçağı kullanırken BS/GS/SS'da kara hedeflerini (YZ) imha et";"在\t街\t机\t、\t历\t史\t或\t全\t真\t模\t式\t中\t驾\t驶\t攻\t击\t机\t摧\t毁\t AI \t地\t面\t单\t位";"AB/RB/SB\tモードで\t攻撃機を\t使い、\t敵の\t地上車両を\t破壊（AI）";"Destruir alvos terrestres (AI) em AB/RB/SB enquanto voar com qualquer avião de ataque";"Destroy ground targets (AI) in AB/RB/SB while flying any attacker";"Знищуйте наземні цілі (ботів) в будь-якому режимі гри, керуючи штурмовиками будь-якої країни";"Uništite kppnene mete (AI) u AB/RB/SB dok letite bilo kojim jurišnikom";"Semmisíts meg (MI) földi célpontokat AB/RB/SB módban bármilyen csatarepülővel.";"아케이드/리얼리스틱/시뮬레이터에서 공격기로 AI 지상목표 격파";"4-я з 7 задач на атрыманне самалёта Gladiator Mk.IIS.
Знішчайце наземныя цэлі (""ботаў"") у любым рэжыме гульні, кіруючы штурмавікамі любой дзяржавы.";"Distruge țintele terestre (IA) în LA/LR/LS în timp ce pilotezi un avion de atac";"Destroy ground targets (AI) in AB/RB/SB while flying any attacker";"在\t标\t准\t、\t历\t史\t或\t全\t真\t模\t式\t中\t驾\t驶\t攻\t击\t机\t摧\t毁\t AI \t地\t面\t单\t位";;
"ch_23feb2015_gladiator_bomber/name";"Bomber";"Bombardier";"Bombardiere";"Bomber";"Bombardero";"Бомбардировщик";"Bombowiec";"Bombometčík";"Bombardıman uçağı";"轰\t炸\t机";"爆撃機";"Bombardeiro";"Bomber";"Бомбардувальник";"Bombarder";"Bombázó";"폭격기";"Лётчык-бамбардзіроўшчык";"Bombardier";"Bomber";"轰\t炸\t机";;
"ch_23feb2015_gladiator_bomber/desc";"Destroy ground targets (AI) in AB/RB/SB while flying any bomber";"Détruire des cibles au sol (IA) en AB/RB/SB en pilotant un bombardier";"Distruggi le unità terrestri (IA) in AB/HB/SB ai comandi di un qualsiasi bombardiere";"Zerstöre Bodenziele (AI) in AB/RB/SB in einem beliebigen Bomber";"Destruye objetivos terrestres (IA) en AB/RB/SB mientras vuelas cualquier bombardero";"5 из 7 заданий на получение самолёта Gladiator Mk.IIS.
Уничтожайте наземные цели (ИИ ботов) в любом режиме игры, управляя бомбардировщиками любой страны.";"Zniszcz cele naziemne (SI) w trybach AB/RB/SB pilotując dowolny bombowiec";"Zničte pozemní cíle (AI) v AB/RB/SB při pilotování jakéhokoliv bombardéru";"Herhangi bir Bombardıman uçağı kullanırken AS/GS/SS'da kara hedeflerini (YZ) imha et";"在\t街\t机\t、\t历\t史\t或\t全\t真\t模\t式\t中\t驾\t驶\t攻\t击\t机\t摧\t毁\t AI \t地\t面\t单\t位";"爆撃機で\t地上目標(AI) を\t撃破する (AB/RB/SB)";"Destruir alvos terrestres (AI) em AB/RB/SB enquanto voar com qualquer bombardeiro";"Destroy ground targets (AI) in AB/RB/SB while flying any bomber";"Знищуйте наземні цілі (ботів) в будь-якому режимі гри, керуючи бомбардувальниками будь-якої країни";"Uništite kopnene mete (AI) u AB/RB/SB dok letite bilo kojim bombarderom";"Semmisíts meg (MI) földi célpontokat AB/RB/SB módban bármilyen bombázóval.";"아케이드/리얼리스틱/시뮬레이터에서 폭격기로 AI 지상목표 격파";"5-я з 7 задач на атрыманне самалёта Gladiator Mk.IIS.
Знішчайце наземныя цэлі (""ботаў"") у любым рэжыме гульні, кіруючы бамбардзіроўшчыкамі любой дзяржавы.";"Distruge țintele terestre (IA) în LA/LR/LS în timp ce pilotezi un bombardier";"Destroy ground targets (AI) in AB/RB/SB while flying any bomber";"在\t标\t准\t、\t历\t史\t或\t全\t真\t模\t式\t中\t驾\t驶\t攻\t击\t机\t摧\t毁\t AI \t地\t面\t单\t位";;
"ch_23feb2015_gladiator_tanker/name";"Tankman";"Tankiste";"Carrista";"Panzerfahrer";"Tanquista";"Танкист";"Czołgista";"Tankista";"Tankçı";"坦\t克\t手";"戦車乗り";"Tankman";"Tankman";"Танкіст";"Tenkista";"Harckocsizó";"전차병";"Танкіст";"Tanchist";"Tankman";"坦\t克\t手";;
