"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"usa_commendation_medal_army_2/name";"Army Commendation Medal";"Médaille du mérite de l'armée";"Medaglia di Elogio dell'Esercito";"Army Commendation Medal";"Army Commendation Medal";"Похвальная медаль армии";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Похвальна медаль армії";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Army Commendation Medal";"Medalia de recomandare în armată";"Army Commendation Medal";"Army Commendation Medal";;
"usa_commendation_medal_army_2/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_commendation_medal_air/name";"Air Force Commendation Medal";"Médaille du mérite de l'Air Force";"Medaglia di Elogio dell'Aeronautica";"Air Force Commendation Medal";"Air Force Commendation Medal";"Похвальная медаль ВВС";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Похвальна медаль ВПС";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Air Force Commendation Medal";"Medalia de recomandare în aviație";"Air Force Commendation Medal";"Air Force Commendation Medal";;
"usa_commendation_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_bronze_star_2/name";"Bronze Star";"Étoile de bronze";"Stella di Bronzo";"Bronze Star";"Bronze Star";"Бронзовая звезда";"Brązowa Gwiazda";"Bronze Star";"Bronze Star";"Bronze Star";"Bronze Star";"Bronze Star";"Bronze Star";"Бронзова зірка";"Bronze Star";"Bronze Star";"Bronze Star";"Bronze Star";"Steaua de bronz";"Bronze Star";"Bronze Star";;
"usa_bronze_star_2/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_air_1_class/name";"Air Medal";"Médaille de l'air de 1re classe";"Air Medal 1st Class";"Luftmedaille I. Klasse";"Medalla aérea de 1ª clase";"Воздушная медаль";"Medal Lotniczy I klasy";"Vzdušná medaile 1. třídy";"1. Sınıf Havacı Madalyası";"一\t级\t飞\t行\t勋\t章";"第一等航空章";"Air Medal 1st Class";"Air Medal";"Повітряна медаль 1-го класу";"Vazdušna Medalja 1. Klase";"Légi érme I. fokozat";"1급 항공장(Air Medal 1st Class)";"Паветраная медаль 1-й ступені";"Medalia aerului";"一級飛行勳章";"一\t级\t飞\t行\t勋\t章";;
"usa_air_1_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_air_cross/name";"Air Force Cross";"Croix de l'Air Force";"Croce dell'Aeronautica";"Air Force Cross";"Air Force Cross";"Крест ВВС";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Хрест ВПС";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Crucea Forțelor Aeriene";"Air Force Cross";"Air Force Cross";;
"usa_air_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_war_medal/name";"War Medal 1939–1945";"Médaille de Guerre 1939-1945";"Medaglia di Guerra 1939–1945";"Kriegsmedaille 1939–1945";"Medalla de Guerra 1939–1945";"Медаль войны 1939 — 1945";"Medal za Wojnę 1939-45";"Válečná medaile 1939-1945";"1939–1945 Savaş Madalyası";"1939 - 1945 \t年\t战\t争\t勋\t章";"1939～1945 従軍記章";"War Medal 1939–1945";"War Medal 1939–1945";"Медаль 1939–1945";"Ratna Medalja 1939-1945";"1939–1945 Háborús Emlékérem";"1939~1945년 참전 기념장(War Medal 1939-1945)";"Медаль 1939–1945";"Medalia de război 1939–1945";"1939 - 1945 年戰爭勳章";"1939 - 1945 \t年\t战\t争\t勋\t章";;
"raaf_war_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_victoria_cross/name";"Victoria Cross";"Croix de Victoria";"Victoria Cross";"Victoria-Kreuz";"Cruz Victoria";"Крест Виктории";"Krzyż Wiktorii";"Viktoriin kříž";"Victoria Haçı";"维\t多\t利\t亚\t十\t字\t勋\t章";"ヴィクトリア\t十字章";"Victoria Cross";"Victoria Cross";"Хрест Вікторії";"Viktorijin Krst";"Viktória-kereszt";"빅토리아 십자장(Victoria Cross)";"Крыж Вікторыі";"Crucea Victoria";"維多利亞十字勳章";"维\t多\t利\t亚\t十\t字\t勋\t章";;
"raaf_victoria_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_service_cross_rosette/name";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Croce di Distinto Servizio + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Крест За доблестную службу с розеткой";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Хрест За доблесну службу з розеткою";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";"Crucea serviciului distins + rozetă";"Distinguished Service Cross + rosette";"Distinguished Service Cross + rosette";;
"uk_service_cross_rosette/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_service_cross/name";"Distinguished Service Cross";"Distinguished Service Cross";"Croce di Distinto Servizio";"Distinguished Service Cross";"Distinguished Service Cross";"Крест За доблестную службу";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Хрест За доблесну службу";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Distinguished Service Cross";"Crucea serviciului distins";"Distinguished Service Cross";"Distinguished Service Cross";;
"uk_service_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_pacific/name";"Pacific Star";"Étoile du Pacifique";"Pacific Star";"Pazifik-Stern";"Estrella del Pacífico";"Тихоокеанская звезда";"Gwiazda Pacyfiku";"Tichomořská hvězda";"Pasifik Yıldızı";"太\t平\t洋\t之\t星";"太平洋星章";"Pacific Star";"Pacific Star";"Зірка Тихого океана";"Pacifička zvezda";"Csendes-óceáni Csillag";"태평양 종군성장(Pacific Star)";"Ціхаакіянская зорка";"Steaua Pacificului";"太平洋之星";"太\t平\t洋\t之\t星";;
"raaf_pacific/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_long_service_medal_navy/name";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Medaglia al Lungo Servizio e alla Buona Condotta della Marina";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Медаль За длительную и усердную службу (15 лет мвф)";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Медаль За тривалу і старанну службу (15 років МВФ)";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";"Medalia „Serviciu îndelungat și bună conduită în marină”";"Naval Long Service and Good Conduct Medal";"Naval Long Service and Good Conduct Medal";;
"uk_long_service_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_long_service_medal_army/name";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Medaglia al Lungo Servizio e alla Buona Condotta dell'Esercito";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Медаль За длительную и усердную службу (15 лет в армии)";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Медаль За тривалу і старанну службу (15 років в армії)";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";"Medalia „Serviciu îndelungat și bună conduită în armată”";"Army Long Service and Good Conduct Medal";"Army Long Service and Good Conduct Medal";;
"uk_long_service_medal_army/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_long_service_medal_air/name";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Medaglia al Lungo Servizio e alla Buona Condotta della RAF";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Медаль За длительную и усердную службу (15 лет ввс)";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Медаль За тривалу і старанну службу (15 років ВПС)";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";"Medalia „Serviciu îndelungat și bună conduită în Forțele Aeriene Regale”";"Royal Air Force Long Service and Good Conduct Medal";"Royal Air Force Long Service and Good Conduct Medal";;
"uk_long_service_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_korean_medal/name";"Korea Medal";"Médaille de Corée";"Medaglia di Corea";"Korea Medal";"Korea Medal";"Корейская медаль";"Medal Korei";"Korea Medal";"Korea Medal";"Korea Medal";"Korea Medal";"Korea Medal";"Korea Medal";"Корейська медаль";"Korea Medal";"Korea Medal";"Korea Medal";"Korea Medal";"Medalie Coreea";"Korea Medal";"Korea Medal";;
"uk_korean_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_italy_star/name";"Italy Star";"Étoile de l'Italie";"Stella d'Italia";"Italy Star";"Italy Star";"Итальянская звезда";"Gwiazda Włoch";"Italy Star";"Italy Star";"Italy Star";"Italy Star";"Italy Star";"Italy Star";"Італійська зірка";"Italy Star";"Italy Star";"Italy Star";"Italy Star";"Medalie Italia";"Italy Star";"Italy Star";;
"uk_italy_star/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_france_germany/name";"France and Germany Star";"France and Germany Star";"Stella Francia e Germania";"Frankreich und Deutschland Stern";"Estrella de Francia y Alemania";"Французская и Германская звезда";"Gwiazda za Francję i Niemcy";"Hvězda za Francii a Německo";"Fransa ve Almanya Yıldızı";"法\t德\t之\t星";"フランス・ドイツ\t星章";"France and Germany Star";"France and Germany Star";"Зірка Франції та Німеччини";"Francuska i Nemačka zvezda";"Franciaország és Németország Érdemérem";"프랑스 및 독일 지역 참전 기념 성장(France and Germany Star)";"Зорка ""За Францыю і Германію""";"Steaua Franței și Germaniei";"法德之星";"法\t德\t之\t星";;
"raaf_france_germany/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_flying_medal/name";"Distinguished Flying Medal";"Distinguished Flying Medal";"Medaglia di Distinto Volo";"Distinguished Flying Medal";"Distinguished Flying Medal";"Медаль За летные боевые заслуги";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Медаль За льотні бойові заслуги";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Distinguished Flying Medal";"Medalia „Zbor distins”";"Distinguished Flying Medal";"Distinguished Flying Medal";;
"uk_flying_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_flying_cross/name";"Distinguished Flying Cross";"Distinguished Flying Cross";"Distinguished Flying Cross";"Flieger-Verdienstkreuz";"Cruz al Vuelo Distinguido";"Крест За выдающиеся летные заслуги";"Zaszczytny Krzyż Lotniczy";"Záslužný letecký kříž";"Seçkin Uçuş Haçı";"杰\t出\t飞\t行\t十\t字\t勋\t章";"航空殊勲十字章";"Distinguished Flying Cross";"Distinguished Flying Cross";"Хрест ""За видатні льотні заслуги""";"Istaknuti leteći krst";"Kiemelkedő repülésért kereszt";"공군 수훈 십자장(Distinguished Flying Cross)";"Крыж ""За выдатныя лётныя заслугі""";"Crucea „Pilot remarcabil”";"傑出飛行十字勳章";"杰\t出\t飞\t行\t十\t字\t勋\t章";;
"raaf_flying_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_service_order/name";"Distinguished Service Order";"Ordre du Service distingué";"Distinguished Service Order";"Kriegsverdienstorden";"Orden del Servicio Distinguido";"Орден За выдающиеся заслуги";"Medal za Wybitną Służbę";"Řád za vynikající službu";"Üstün Hizmet Madalyası";"卓\t越\t服\t务\t勋\t章";"殊勲十字勲章";"Distinguished Service Order";"Distinguished Service Order";"Орден ""За видатні заслуги""";"Istaknuti red službe";"Kiemelkedő szolgálatért kereszt";"복무 수훈장(Distinguished Service Order)";"Ордэн ""За выдатныя заслугі""";"Ordinul „Serviciu remarcabil”";"卓越服務勳章";"卓\t越\t服\t务\t勋\t章";;
"raaf_service_order/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_conspicious_gallantry_medal/name";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Медаль За отвагу";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Медаль за відвагу";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";"Medalia „Vitejie remarcabilă”";"Conspicuous Gallantry Medal";"Conspicuous Gallantry Medal";;
"uk_conspicious_gallantry_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_conduct_medal/name";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Medaglia di Distinta Condotta";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Медаль За доблесть в бою";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Медаль За доблесть в бою";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Distinguished Conduct Medal";"Medalia „Conduită distinsă”";"Distinguished Conduct Medal";"Distinguished Conduct Medal";;
"uk_conduct_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_atlantic_star/name";"Atlantic Star";"Etoile de l'Atlantique";"Stella dell'Atlantico";"Atlantic Star";"Atlantic Star";"Атлантическая звезда";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Атлантична зірка";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Atlantic Star";"Steaua Atlanticului";"Atlantic Star";"Atlantic Star";;
"uk_atlantic_star/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_army_medal/name";"Military Medal";"Médaille militaire";"Medaglia Militare";"Military Medal";"Military Medal";"Воинская медаль";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Військова медаль";"Military Medal";"Military Medal";"Military Medal";"Military Medal";"Medalia militară";"Military Medal";"Military Medal";;
"uk_army_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_army_cross/name";"Military Cross";"Croix militaire";"Croce Militare";"Military Cross";"Military Cross";"Военный крест";"Krzyż Wojskowy";"Military Cross";"Military Cross";"Military Cross";"Military Cross";"Military Cross";"Military Cross";"Військовий хрест";"Military Cross";"Military Cross";"Military Cross";"Military Cross";"Crucea militară";"Military Cross";"Military Cross";;
"uk_army_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_air_medal/name";"Air Force Medal";"Médaille de la Royal Air Force";"Medaglia dell'Aeronautica";"Air Force Medal";"Air Force Medal";"Медаль ВВС";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Медаль ВПС";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Air Force Medal";"Medalia Forțelor Aeriene";"Air Force Medal";"Air Force Medal";;
"uk_air_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_air_efficiency_medal/name";"Air Efficiency Award";"Air Efficiency Award";"Premio di efficienza in aria";"Air Efficiency Award";"Air Efficiency Award";"Медаль За длительную и усердную службу (10 лет ввс)";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Медаль За тривалу і старанну службу (10 років ВПС)";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Air Efficiency Award";"Distincția „Eficiență în aer”";"Air Efficiency Award";"Air Efficiency Award";;
"uk_air_efficiency_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_air_cross/name";"Air Force Cross";"Croix de la RAF";"Croce dell'Aeronautica";"Air Force Cross";"Air Force Cross";"Крест ВВС";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Хрест ВПС";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Air Force Cross";"Crucea Forțelor Aeriene";"Air Force Cross";"Air Force Cross";;
"uk_air_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_air_crew_europe_star/name";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Звезда летных экипажей европы";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Зірка льотних екіпажів Європи";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Air Crew Europe Star";"Steaua echipajului aerian european";"Air Crew Europe Star";"Air Crew Europe Star";;
"uk_air_crew_europe_star/desc";;;;;;;;;;;;;;;;;;;;;;;
"uk_african_star/name";"Africa Star";"Etoile de l'Afrique";"Stella Africa";"Africa Star";"Africa Star";"Африканская звезда";"Gwiazda Afryki";"Africa Star";"Africa Star";"Africa Star";"Africa Star";"Africa Star";"Africa Star";"Африканська зірка";"Africa Star";"Africa Star";"Africa Star";"Africa Star";"Steaua Africa";"Africa Star";"Africa Star";;
"uk_african_star/desc";;;;;;;;;;;;;;;;;;;;;;;
"raaf_39_45_star/name";"1939–45 Star";"Étoile de 1939-45";"Stella 1939–45";"1939–45 Stern";"Estrella 1939–45";"Звезда 1939-45";"Gwiazda za Wojnę 1939-45";"Hvězda 1939-1945";"1939–45 Yıldızı";"1939 - 1945 \t年\t之\t星";"1939～45 星章";"1939–45 Star";"1939–45 Star";"Зірка 1939–45";"1939-45 Zvezda";"1939–1945 Érdemérem";"1939~45년 참전 기념장(1939-49 Star)";"Зорка 1939–45";"Steaua 1939–45";"1939 - 1945 年之星";"1939 - 1945 \t年\t之\t星";;
"raaf_39_45_star/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_wound_badge_silver/name";"Wound Badge Silver";"Insigne d'argent Blessure au combat";"Distintivo Argento per feriti";"Wound Badge Silver";"Wound Badge Silver";"Нагрудный знак За ранение (серебряный)";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Нагрудний знак За поранення (срібний)";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Wound Badge Silver";"Insigna de argint a rănitului";"Wound Badge Silver";"Wound Badge Silver";;
"jap_wound_badge_silver/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_wound_badge_gold/name";"Wound Badge Gold";"Insigne d'or Blessure au combat";"Distintivo d'Oro per feriti";"Wound Badge Gold";"Wound Badge Gold";"Нагрудный знак За ранение (золотой)";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Нагрудний знак За поранення (золотий)";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Wound Badge Gold";"Insigna de aur a rănitului";"Wound Badge Gold";"Wound Badge Gold";;
"jap_wound_badge_gold/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_torpedoman_badge/name";"Torpedo Firing Proficiency Badge";"Insigne ""compétence de tir de torpille""";"Distintivo di competenza nel lancio di siluri";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Нагрудный знак торпедиста";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Нагрудний знак торпедист";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";"Insigna eficienței de tragere cu torpile";"Torpedo Firing Proficiency Badge";"Torpedo Firing Proficiency Badge";;
"jap_torpedoman_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_tanker_badge/name";"Tank driver Badge";"Insigne de Conducteur de char";"Distintivo pilota di carri";"Tank driver Badge";"Tank driver Badge";"Нагрудный знак танкиста для рядового состава";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Нагрудний знак танкіста для рядового складу";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Tank driver Badge";"Insigna șoferului tanchist";"Tank driver Badge";"Tank driver Badge";;
"jap_tanker_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_tank_gun_badge/name";"Tank gun shooting Badge";"Tank gun shooting Badge";"Distintivo di sparo per carristi";"Tank gun shooting Badge";"Tank gun shooting Badge";"Нагрудный знак танкиста для унтер-офицеров";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Нагрудний знак танкіста для унтер-офіцерів";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Tank gun shooting Badge";"Insigna trăgătorului tanchist";"Tank gun shooting Badge";"Tank gun shooting Badge";;
"jap_tank_gun_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_seamanship_badge/name";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Distintivo di competenza di arte marinaresca";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Нагрудный знак моряка";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Нагрудний знак моряка";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";"Insigna marinarului eficient";"Seamanship Proficiency Badge";"Seamanship Proficiency Badge";;
"jap_seamanship_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_sacred_treasure_order_8_class/name";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Ordine del Sacro Tesoro VIII Classe";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Орден Священного сокровища 8 степени";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Орден Святого скарбу 8 ступеня";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";"Ordinul Comorii Sacre clasa 8";"Order of the Sacred Treasure 8th class";"Order of the Sacred Treasure 8th class";;
"jap_sacred_treasure_order_8_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_sacred_treasure_order_7_class/name";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Ordine del Sacro Tesoro VII Classe";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Орден Священного сокровища 7 степени";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Орден Святого скарбу 7 ступеня";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";"Ordinul Comorii Sacre clasa 7";"Order of the Sacred Treasure 7th class";"Order of the Sacred Treasure 7th class";;
"jap_sacred_treasure_order_7_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_sacred_treasure_order_6_class/name";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Ordine del Sacro Tesoro VI Classe";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Орден Священного сокровища 6 степени";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Орден Святого скарбу 6 ступеня";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";"Ordinul Comorii Sacre clasa 6";"Order of the Sacred Treasure 6th class";"Order of the Sacred Treasure 6th class";;
"jap_sacred_treasure_order_6_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"jap_sacred_treasure_order_5_class/name";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Ordine del Sacro Tesoro V Classe";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Орден Священного сокровища 5 степени";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Орден Святого скарбу 5 ступеня";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";"Ordinul Comorii Sacre clasa 5";"Order of the Sacred Treasure 5th class";"Order of the Sacred Treasure 5th class";;
"jap_sacred_treasure_order_5_class/desc";;;;;;;;;;;;;;;;;;;;;;;
